strategy,iteration,test_r2,test_mae,val_r2,val_mae,train_r2,train_mae,n_judges
attribution_correlation,0.0,0.6612460654911925,0.9923194996072852,0.6538895124359434,1.0972082806566978,0.8486320141590141,0.721880666814223,55.0
attribution_correlation,1.0,0.660198900081789,0.9955219474731376,0.6311150256552824,1.1240675906250273,0.8472346443251412,0.7244069119130296,54.0
attribution_correlation,2.0,0.6603665982592473,0.9957398783945225,0.6300373706856262,1.1242299150230228,0.8471811427997933,0.724913824376994,53.0
attribution_correlation,3.0,0.662292063285423,0.9921811824103649,0.629684818877857,1.124153731446307,0.8467631818216648,0.7250111813093987,52.0
attribution_correlation,4.0,0.6657819107379384,0.9900493457367637,0.6301774683715866,1.1234079270392554,0.846287454454673,0.7244487377952278,51.0
attribution_correlation,5.0,0.6658512468368971,0.9925195008079262,0.6313926008785856,1.1228488700870447,0.8457255844562428,0.7257693212330318,50.0
attribution_correlation,6.0,0.665179920262474,0.9914405711451603,0.6172085268009475,1.1319015435988853,0.8449977536275398,0.7279849574047508,49.0
attribution_correlation,7.0,0.6684640832222575,0.9877934038173557,0.6185982219383097,1.1343644270209619,0.8436978420750163,0.7311896867573227,48.0
attribution_correlation,8.0,0.676250464413058,0.9806375556527527,0.6170153008492434,1.1274740307410087,0.8429837274307043,0.7319564637821637,47.0
attribution_correlation,9.0,0.6807343542670858,0.9704746661750068,0.6102990199244869,1.135337515542104,0.8418161717262576,0.734514199605986,46.0
attribution_correlation,10.0,0.6791098355553173,0.9782295639593883,0.6074285292335313,1.1279289443498084,0.8409137993640003,0.7368997929788297,45.0
attribution_correlation,11.0,0.6803592466615445,0.9755603695089777,0.6027342063518104,1.1412476409649817,0.8405305728630142,0.7380019599323017,44.0
attribution_correlation,12.0,0.6792154125768437,0.9781271979963087,0.6038832481168885,1.1363392144367142,0.8401159270764877,0.7374810711175128,43.0
attribution_correlation,13.0,0.6775342260315925,0.9809425844858553,0.6022683308805113,1.1363803685634795,0.8393599426304732,0.7395612754800269,42.0
attribution_correlation,14.0,0.674932116430852,0.9848851287326189,0.6078605358190553,1.1255944739024046,0.8380876686850254,0.7415986552377489,41.0
attribution_correlation,15.0,0.6784496126715345,0.9842684608860032,0.6114449669588766,1.1149896317047645,0.8361417812781311,0.7438891919639503,40.0
attribution_correlation,16.0,0.681080439587616,0.978463632257319,0.6268548946712165,1.1009627297692821,0.8343785390506588,0.74434481801816,39.0
attribution_correlation,17.0,0.6800276806573369,0.9767373300818505,0.6249567453958847,1.099328611280746,0.8333247325027018,0.746365516432665,38.0
attribution_correlation,18.0,0.6872459214102533,0.9731031638492882,0.6301033684129441,1.0929295092430926,0.8322540780766405,0.7490735930699558,37.0
attribution_correlation,19.0,0.6898172714205475,0.9736654381414224,0.6247062098034297,1.0978360602754624,0.8312861479616598,0.7524653027823349,36.0
attribution_correlation,20.0,0.6941550910678742,0.9667589910789487,0.6282248034974571,1.0942785476581194,0.8302118428711167,0.7573452804640187,35.0
attribution_correlation,21.0,0.7055365744946369,0.9586855232364428,0.6275442281079968,1.0799380658504043,0.827712073021887,0.7620369116927451,34.0
attribution_correlation,22.0,0.7087069756808848,0.951098153272672,0.6289910038846185,1.080118676060854,0.8259498936681006,0.7640990302668225,33.0
attribution_correlation,23.0,0.7138014324437193,0.9356996792432852,0.6361050300555819,1.0563453905081963,0.823287114276118,0.7651783026287867,32.0
attribution_correlation,24.0,0.7176446930555487,0.9342750396860885,0.6304180607233628,1.0597621019028287,0.8218174263115948,0.7678526161775936,31.0
attribution_correlation,25.0,0.713014939992314,0.9382312415609757,0.6327397289262988,1.0524068037439922,0.8202811016101406,0.7717215622784103,30.0
attribution_correlation,26.0,0.7151704098147817,0.9289196383596525,0.6336090043834601,1.0445031965224396,0.8186161750861035,0.7716971603973987,29.0
attribution_correlation,27.0,0.7238432476159187,0.916443383995122,0.6373132500772487,1.0303165938368608,0.816267504855428,0.7753878934970504,28.0
attribution_correlation,28.0,0.7248436927315665,0.9119165979344188,0.633789533595474,1.0352587717663215,0.8146549499469533,0.7810783549987239,27.0
combined,0.0,0.6612460654911925,0.9923194996072852,0.6538895124359434,1.0972082806566978,0.8486320141590141,0.721880666814223,55.0
combined,1.0,0.6615155775480417,0.9926266869549124,0.6523709773664756,1.0974994573903343,0.8485424539927986,0.7225253279167592,54.0
combined,2.0,0.6638032786900847,0.9891626612105764,0.6514362877792078,1.0984005298113118,0.8481079184996482,0.7229457381193483,53.0
combined,3.0,0.6667476469971707,0.9883071070496493,0.6509233931876411,1.1013545920224794,0.847685605906146,0.7231293837134224,52.0
combined,4.0,0.669961344192875,0.9846918012418006,0.6510572321427874,1.1040078141786156,0.8465782346498546,0.7252922248731805,51.0
combined,5.0,0.6755442483805154,0.9790370040010892,0.6505600706153081,1.0974554239070293,0.8460538854340868,0.726417295249217,50.0
combined,6.0,0.6763685427237685,0.9815484693398552,0.6503616969673325,1.0990348328724922,0.8454513739085562,0.7274305266865126,49.0
combined,7.0,0.675458967368979,0.9820043861332747,0.6488844329170791,1.1014608628526654,0.844790222452403,0.7285835346489047,48.0
combined,8.0,0.674319752186886,0.9818745711761883,0.636226638014987,1.1104070133605164,0.8441782072495561,0.7299968705447906,47.0
combined,9.0,0.6787495831434532,0.9735334768773115,0.630319668439725,1.1204250146606634,0.8430685107120599,0.7323502013346835,46.0
combined,10.0,0.6799743223613675,0.9714050730818536,0.6267979716831884,1.1292238837369772,0.8426712490193257,0.7330142415985338,45.0
combined,11.0,0.6778165631081454,0.9782329188891765,0.6262850054760781,1.1196618775891083,0.8418568177419153,0.7362447418332989,44.0
combined,12.0,0.6752359082384943,0.9845061964486294,0.63074080616517,1.1139822662376544,0.8406104153232822,0.7386390134602737,43.0
combined,13.0,0.6758005083357284,0.983397641987696,0.633282367711357,1.107596488906329,0.8394247650584795,0.7430440455533258,42.0
combined,14.0,0.675646828575067,0.9781877871415868,0.6339361750075774,1.1003592747196766,0.8378479225103115,0.744850687816717,41.0
combined,15.0,0.6821374304405239,0.974409170857615,0.6372528933928596,1.0971720904656532,0.8370832321464059,0.7470958196697027,40.0
combined,16.0,0.6931582395967466,0.9687810228888958,0.6346465049488222,1.0896772372296615,0.834759648146818,0.7503808393525586,39.0
combined,17.0,0.6960723647149296,0.9674955153546341,0.6306361290769976,1.0943905406082197,0.8339042484993482,0.7529368651768183,38.0
combined,18.0,0.7017218192351289,0.9657286417791393,0.6200760573399279,1.1061797605075323,0.8321562240478834,0.7573215630195612,37.0
combined,19.0,0.7048264589678485,0.9546586120743273,0.6198750047242543,1.1070841862092602,0.8305656736221027,0.7585347708920818,36.0
combined,20.0,0.7049412854678547,0.9570626586585469,0.622568612450354,1.099589044014399,0.8298765282162704,0.7595380469860117,35.0
combined,21.0,0.7073638601906163,0.9450808747101431,0.6345546306285818,1.0787795718754216,0.8270133425296138,0.7602500017685465,34.0
combined,22.0,0.7098992140088529,0.9389969819519486,0.6349053252578538,1.0683715619127376,0.8260678371271731,0.759079211978606,33.0
combined,23.0,0.7103187535960398,0.9438228133970982,0.6296211863143426,1.077080494691692,0.8236968061064366,0.7626772369133211,32.0
combined,24.0,0.7120902752634061,0.9382894379577024,0.6336208326742347,1.0507519066897084,0.82196692896091,0.7657865243165195,31.0
combined,25.0,0.7100435365883935,0.9435374602656225,0.6312377182620148,1.0541708511874721,0.8208242769573765,0.7696472368641156,30.0
combined,26.0,0.716030520425758,0.9366339002882639,0.6437163654860765,1.0405579105760612,0.819479465563457,0.7708160227586267,29.0
combined,27.0,0.7127653736782059,0.9329691813891299,0.6435494447963819,1.0414855134734542,0.817962657759852,0.7752374415699549,28.0
combined,28.0,0.717880304975582,0.9266035140992055,0.6458107936786743,1.0374016229378908,0.816797845175616,0.7778587304963313,27.0
current_importance,0.0,0.6612460654911925,0.9923194996072852,0.6538895124359434,1.0972082806566978,0.8486320141590141,0.721880666814223,55.0
current_importance,1.0,0.6615155775480417,0.9926266869549124,0.6523709773664756,1.0974994573903343,0.8485424539927986,0.7225253279167592,54.0
current_importance,2.0,0.6638032786900847,0.9891626612105764,0.6514362877792078,1.0984005298113118,0.8481079184996482,0.7229457381193483,53.0
current_importance,3.0,0.6667476469971707,0.9883071070496493,0.6509233931876411,1.1013545920224794,0.847685605906146,0.7231293837134224,52.0
current_importance,4.0,0.669961344192875,0.9846918012418006,0.6510572321427874,1.1040078141786156,0.8465782346498546,0.7252922248731805,51.0
current_importance,5.0,0.6755442483805154,0.9790370040010892,0.6505600706153081,1.0974554239070293,0.8460538854340868,0.726417295249217,50.0
current_importance,6.0,0.6763685427237685,0.9815484693398552,0.6503616969673325,1.0990348328724922,0.8454513739085562,0.7274305266865126,49.0
current_importance,7.0,0.675458967368979,0.9820043861332747,0.6488844329170791,1.1014608628526654,0.844790222452403,0.7285835346489047,48.0
current_importance,8.0,0.674319752186886,0.9818745711761883,0.636226638014987,1.1104070133605164,0.8441782072495561,0.7299968705447906,47.0
current_importance,9.0,0.6787495831434532,0.9735334768773115,0.630319668439725,1.1204250146606634,0.8430685107120599,0.7323502013346835,46.0
current_importance,10.0,0.6799743223613675,0.9714050730818536,0.6267979716831884,1.1292238837369772,0.8426712490193257,0.7330142415985338,45.0
current_importance,11.0,0.6778165631081454,0.9782329188891765,0.6262850054760781,1.1196618775891083,0.8418568177419153,0.7362447418332989,44.0
current_importance,12.0,0.6752359082384943,0.9845061964486294,0.63074080616517,1.1139822662376544,0.8406104153232822,0.7386390134602737,43.0
current_importance,13.0,0.6758005083357284,0.983397641987696,0.633282367711357,1.107596488906329,0.8394247650584795,0.7430440455533258,42.0
current_importance,14.0,0.675646828575067,0.9781877871415868,0.6339361750075774,1.1003592747196766,0.8378479225103115,0.744850687816717,41.0
current_importance,15.0,0.6821374304405239,0.974409170857615,0.6372528933928596,1.0971720904656532,0.8370832321464059,0.7470958196697027,40.0
current_importance,16.0,0.6931582395967466,0.9687810228888958,0.6346465049488222,1.0896772372296615,0.834759648146818,0.7503808393525586,39.0
current_importance,17.0,0.6960723647149296,0.9674955153546341,0.6306361290769976,1.0943905406082197,0.8339042484993482,0.7529368651768183,38.0
current_importance,18.0,0.7017218192351289,0.9657286417791393,0.6200760573399279,1.1061797605075323,0.8321562240478834,0.7573215630195612,37.0
current_importance,19.0,0.7048264589678485,0.9546586120743273,0.6198750047242543,1.1070841862092602,0.8305656736221027,0.7585347708920818,36.0
current_importance,20.0,0.7061016946748362,0.9526891775242924,0.6334869758518079,1.0985444254250354,0.8286690572592337,0.7631542597776697,35.0
current_importance,21.0,0.7069084185761645,0.9535511586919023,0.6362572286500976,1.09083037659287,0.8278906637790856,0.7645743926788778,34.0
current_importance,22.0,0.7127398991187184,0.9512040436866569,0.6474954185987369,1.0775253444524098,0.8268149648566318,0.7649624707699658,33.0
current_importance,23.0,0.7145311292994553,0.9538287984178612,0.6386700544696262,1.0814512157928853,0.8241337728885942,0.7685897527134026,32.0
current_importance,24.0,0.7159788049278557,0.9477975938903747,0.6430190779826384,1.0613650274863269,0.8224354969988,0.771270070260941,31.0
current_importance,25.0,0.7162297772238758,0.9447262813280346,0.642307625805801,1.0540208905260335,0.8215456278381791,0.7702031074013648,30.0
